"CompanyName","MarketCap(Billions)","Year","CeoName"
"Amazon","1.44",1997,"Jeff Bezos"
"Amazon","17.05",1998,"Jeff Bezos"
"Amazon","26.27",1999,"Jeff Bezos"
"Amazon","5.55",2000,"Jeff Bezos"
"Amazon","4.03",2001,"Jeff Bezos"
"Amazon","7.32",2002,"Jeff Bezos"
"Amazon","21.22",2003,"Jeff Bezos"
"Amazon","18.14",2004,"Jeff Bezos"
"Amazon","19.61",2005,"Jeff Bezos"
"Amazon","16.33",2006,"Jeff Bezos"
"Amazon","38.53",2007,"Jeff Bezos"
"Amazon","21.99",2008,"Jeff Bezos"
"Amazon","59.72",2009,"Jeff Bezos"
"Amazon","81.18",2010,"Jeff Bezos"
"Amazon","78.71",2011,"Jeff Bezos"
"Amazon","113.89",2012,"Jeff Bezos"
"Amazon","183.04",2013,"Jeff Bezos"
"Amazon","144.31",2014,"Jeff Bezos"
"Amazon","318.34",2015,"Jeff Bezos"
"Amazon","356.31",2016,"Jeff Bezos"
"Amazon","563.53",2017,"Jeff Bezos"
"Amazon","737.46",2018,"Jeff Bezos"
"Amazon","920.22",2019,"Jeff Bezos"
"Amazon","1634",2020,"Jeff Bezos"
"Amazon","1691",2021,"Jeff Bezos"
"Amazon","1691",2021,"Andy Jassy"
"Amazon","856.94",2022,"Andy Jassy"
"Amazon","1570",2023,"Andy Jassy"
"Amazon","2008",2024,"Andy Jassy"
"Apple","1.68",1997,"Gilbert Frank Amelio"
"Apple","1.68",1997,"Steve Jobs"
"Apple","5.54",1998,"Steve Jobs"
"Apple","16.57",1999,"Steve Jobs"
"Apple","5.13",2000,"Steve Jobs"
"Apple","7.71",2001,"Steve Jobs"
"Apple","5.16",2002,"Steve Jobs"
"Apple","7.88",2003,"Steve Jobs"
"Apple","26.05",2004,"Steve Jobs"
"Apple","60.79",2005,"Steve Jobs"
"Apple","72.98",2006,"Steve Jobs"
"Apple","174.03",2007,"Steve Jobs"
"Apple","75.99",2008,"Steve Jobs"
"Apple","190.98",2009,"Steve Jobs"
"Apple","297.09",2010,"Steve Jobs"
"Apple","377.51",2011,"Steve Jobs"
"Apple","377.51",2011,"Tim Cook"
"Apple","499.69",2012,"Tim Cook"
"Apple","500.74",2013,"Tim Cook"
"Apple","643.12",2014,"Tim Cook"
"Apple","583.61",2015,"Tim Cook"
"Apple","608.96",2016,"Tim Cook"
"Apple","860.88",2017,"Tim Cook"
"Apple","746.07",2018,"Tim Cook"
"Apple","1287",2019,"Tim Cook"
"Apple","2255",2020,"Tim Cook"
"Apple","2901",2021,"Tim Cook"
"Apple","2066",2022,"Tim Cook"
"Apple","2994",2023,"Tim Cook"
"Apple","3600",2024,"Tim Cook"
"Facebook","63.14",2012,"Mark Zuckerberg"
"Facebook","139.19",2013,"Mark Zuckerberg"
"Facebook","216.73",2014,"Mark Zuckerberg"
"Facebook","296.6",2015,"Mark Zuckerberg"
"Facebook","331.59",2016,"Mark Zuckerberg"
"Facebook","512.75",2017,"Mark Zuckerberg"
"Facebook","374.13",2018,"Mark Zuckerberg"
"Facebook","585.37",2019,"Mark Zuckerberg"
"Facebook","778.03",2020,"Mark Zuckerberg"
"Facebook","935.64",2021,"Mark Zuckerberg"
"Facebook","545.44",2022,"Mark Zuckerberg"
"Google","359.5",2014,"Larry Page"
"Google","528.16",2015,"Larry Page"
"Google","528.16",2015,"Sundar Pichai"
"Google","539.06",2016,"Sundar Pichai"
"Google","729.45",2017,"Sundar Pichai"
"Google","723.55",2018,"Sundar Pichai"
"Google","921.13",2019,"Sundar Pichai"
"Google","1185",2020,"Sundar Pichai"
"Google","1917",2021,"Sundar Pichai"
"Google","1145",2022,"Sundar Pichai"
"Google","1756",2023,"Sundar Pichai"
"Google","2281",2024,"Sundar Pichai"
"Netflix","0.22",2002,"Reed Hastings"
"Netflix","1.12",2003,"Reed Hastings"
"Netflix","0.65",2004,"Reed Hastings"
"Netflix","1.48",2005,"Reed Hastings"
"Netflix","1.77",2006,"Reed Hastings"
"Netflix","1.72",2007,"Reed Hastings"
"Netflix","1.75",2008,"Reed Hastings"
"Netflix","2.94",2009,"Reed Hastings"
"Netflix","9.27",2010,"Reed Hastings"
"Netflix","3.63",2011,"Reed Hastings"
"Netflix","5.14",2012,"Reed Hastings"
"Netflix","21.94",2013,"Reed Hastings"
"Netflix","20.63",2014,"Reed Hastings"
"Netflix","48.94",2015,"Reed Hastings"
"Netflix","53.12",2016,"Reed Hastings"
"Netflix","83.06",2017,"Reed Hastings"
"Netflix","116.85",2018,"Reed Hastings"
"Netflix","141.98",2019,"Reed Hastings"
"Netflix","238.89",2020,"Reed Hastings"
"Netflix","238.89",2020,"Ted Sarandos"
"Netflix","267.46",2021,"Ted Sarandos"
"Netflix","131.22",2022,"Ted Sarandos"
"Netflix","213.09",2023,"Ted Sarandos"
"Netflix","213.09",2023,"Greg Peters"
"Netflix","282.86",2024,"Greg Peters"
