"CompanyName","year_stock","Close","Volume","Date","CeoName"
"Amazon","1997","1.958333","72156000","1997-05-15","Jeff Bezos"
"Amazon","1997","1.729167","14700000","1997-05-16","Jeff Bezos"
"Amazon","1997","1.708333","6106800","1997-05-19","Jeff Bezos"
"Amazon","1997","1.635417","5467200","1997-05-20","Jeff Bezos"
"Amazon","1997","1.427083","18853200","1997-05-21","Jeff Bezos"
"Amazon","1997","1.395833","11776800","1997-05-22","Jeff Bezos"
"Amazon","1997","1.5","15937200","1997-05-23","Jeff Bezos"
"Amazon","1997","1.583333","8697600","1997-05-27","Jeff Bezos"
"Amazon","1997","1.53125","4574400","1997-05-28","Jeff Bezos"
"Amazon","1997","1.505208","3472800","1997-05-29","Jeff Bezos"
"Amazon","1997","1.5","2594400","1997-05-30","Jeff Bezos"
"Amazon","1997","1.510417","591600","1997-06-02","Jeff Bezos"
"Amazon","1997","1.479167","1183200","1997-06-03","Jeff Bezos"
"Amazon","1997","1.416667","3080400","1997-06-04","Jeff Bezos"
"Amazon","1997","1.541667","5672400","1997-06-05","Jeff Bezos"
"Amazon","1997","1.65625","7807200","1997-06-06","Jeff Bezos"
"Amazon","1997","1.6875","2352000","1997-06-09","Jeff Bezos"
"Amazon","1997","1.583333","5458800","1997-06-10","Jeff Bezos"
"Amazon","1997","1.541667","1188000","1997-06-11","Jeff Bezos"
"Amazon","1997","1.604167","1632000","1997-06-12","Jeff Bezos"
"Amazon","1997","1.583333","693600","1997-06-13","Jeff Bezos"
"Amazon","1997","1.572917","913200","1997-06-16","Jeff Bezos"
"Amazon","1997","1.505208","4706400","1997-06-17","Jeff Bezos"
"Amazon","1997","1.510417","2464800","1997-06-18","Jeff Bezos"
"Amazon","1997","1.510417","1003200","1997-06-19","Jeff Bezos"
"Amazon","1997","1.526042","3387600","1997-06-20","Jeff Bezos"
"Amazon","1997","1.5","1047600","1997-06-23","Jeff Bezos"
"Amazon","1997","1.510417","751200","1997-06-24","Jeff Bezos"
"Amazon","1997","1.510417","2106000","1997-06-25","Jeff Bezos"
"Amazon","1997","1.510417","3189600","1997-06-26","Jeff Bezos"
"Amazon","1997","1.489583","1188000","1997-06-27","Jeff Bezos"
"Amazon","1997","1.541667","2746800","1997-06-30","Jeff Bezos"
"Amazon","1997","1.515625","1292400","1997-07-01","Jeff Bezos"
"Amazon","1997","1.588542","3882000","1997-07-02","Jeff Bezos"
"Amazon","1997","1.911458","12577200","1997-07-03","Jeff Bezos"
"Amazon","1997","2","8053200","1997-07-07","Jeff Bezos"
"Amazon","1997","2.302083","15517200","1997-07-08","Jeff Bezos"
"Amazon","1997","2.322917","8262000","1997-07-09","Jeff Bezos"
"Amazon","1997","2.5625","9051600","1997-07-10","Jeff Bezos"
"Amazon","1997","2.291667","10531200","1997-07-11","Jeff Bezos"
"Amazon","1997","2.135417","4604400","1997-07-14","Jeff Bezos"
"Amazon","1997","2.4375","9274800","1997-07-15","Jeff Bezos"
"Amazon","1997","2.333333","3024000","1997-07-16","Jeff Bezos"
"Amazon","1997","2.21875","3169200","1997-07-17","Jeff Bezos"
"Amazon","1997","2.15625","780000","1997-07-18","Jeff Bezos"
"Amazon","1997","2.182292","574800","1997-07-21","Jeff Bezos"
"Amazon","1997","2.135417","1563600","1997-07-22","Jeff Bezos"
"Amazon","1997","2.291667","3259200","1997-07-23","Jeff Bezos"
"Amazon","1997","2.260417","1216800","1997-07-24","Jeff Bezos"
"Amazon","1997","2.229167","620400","1997-07-25","Jeff Bezos"
"Amazon","1997","2.322917","2574000","1997-07-28","Jeff Bezos"
"Amazon","1997","2.479167","4814400","1997-07-29","Jeff Bezos"
"Amazon","1997","2.447917","2517600","1997-07-30","Jeff Bezos"
"Amazon","1997","2.395833","1454400","1997-07-31","Jeff Bezos"
"Amazon","1997","2.416667","3588000","1997-08-01","Jeff Bezos"
"Amazon","1997","2.3125","2671200","1997-08-04","Jeff Bezos"
"Amazon","1997","2.208333","3032400","1997-08-05","Jeff Bezos"
"Amazon","1997","2.25","1243200","1997-08-06","Jeff Bezos"
"Amazon","1997","2.177083","2034000","1997-08-07","Jeff Bezos"
"Amazon","1997","2.291667","2211600","1997-08-08","Jeff Bezos"
"Amazon","1997","2.328125","1239600","1997-08-11","Jeff Bezos"
"Amazon","1997","2.197917","571200","1997-08-12","Jeff Bezos"
"Amazon","1997","2.197917","590400","1997-08-13","Jeff Bezos"
"Amazon","1997","2.15625","1041600","1997-08-14","Jeff Bezos"
"Amazon","1997","2.114583","1597200","1997-08-15","Jeff Bezos"
"Amazon","1997","2.041667","1784400","1997-08-18","Jeff Bezos"
"Amazon","1997","2.166667","1003200","1997-08-19","Jeff Bezos"
"Amazon","1997","2.166667","999600","1997-08-20","Jeff Bezos"
"Amazon","1997","2.114583","624000","1997-08-21","Jeff Bezos"
"Amazon","1997","2.125","712800","1997-08-22","Jeff Bezos"
"Amazon","1997","2.21875","1126800","1997-08-25","Jeff Bezos"
"Amazon","1997","2.34375","2574000","1997-08-26","Jeff Bezos"
"Amazon","1997","2.317708","1392000","1997-08-27","Jeff Bezos"
"Amazon","1997","2.375","1147200","1997-08-28","Jeff Bezos"
"Amazon","1997","2.338542","722400","1997-08-29","Jeff Bezos"
"Amazon","1997","2.354167","732000","1997-09-02","Jeff Bezos"
"Amazon","1997","2.333333","1964400","1997-09-03","Jeff Bezos"
"Amazon","1997","2.552083","3348000","1997-09-04","Jeff Bezos"
"Amazon","1997","2.5","1908000","1997-09-05","Jeff Bezos"
"Amazon","1997","3","5648400","1997-09-08","Jeff Bezos"
"Amazon","1997","3.239583","8971200","1997-09-09","Jeff Bezos"
"Amazon","1997","3.302083","3866400","1997-09-10","Jeff Bezos"
"Amazon","1997","3.15625","4262400","1997-09-11","Jeff Bezos"
"Amazon","1997","3.6875","3333600","1997-09-12","Jeff Bezos"
"Amazon","1997","3.09375","5583600","1997-09-15","Jeff Bezos"
"Amazon","1997","3.354167","6432000","1997-09-16","Jeff Bezos"
"Amazon","1997","3.40625","2607600","1997-09-17","Jeff Bezos"
"Amazon","1997","3.291667","2128800","1997-09-18","Jeff Bezos"
"Amazon","1997","3.947917","8929200","1997-09-19","Jeff Bezos"
"Amazon","1997","4.5","16938000","1997-09-22","Jeff Bezos"
"Amazon","1997","4.625","7682400","1997-09-23","Jeff Bezos"
"Amazon","1997","4.375","8200800","1997-09-24","Jeff Bezos"
"Amazon","1997","4.078125","4968000","1997-09-25","Jeff Bezos"
"Amazon","1997","4.166667","2731200","1997-09-26","Jeff Bezos"
"Amazon","1997","4.041667","2371200","1997-09-29","Jeff Bezos"
"Amazon","1997","4.338542","5254800","1997-09-30","Jeff Bezos"
"Amazon","1997","4.020833","4999200","1997-10-01","Jeff Bezos"
"Amazon","1997","4.010417","1876800","1997-10-02","Jeff Bezos"
"Amazon","1997","4.015625","1164000","1997-10-03","Jeff Bezos"
"Amazon","1997","4.125","2028000","1997-10-06","Jeff Bezos"
"Amazon","1997","4.057292","1742400","1997-10-07","Jeff Bezos"
"Amazon","1997","4.005208","2806800","1997-10-08","Jeff Bezos"
"Amazon","1997","3.75","3950400","1997-10-09","Jeff Bezos"
"Amazon","1997","3.901042","3787200","1997-10-10","Jeff Bezos"
"Amazon","1997","4","814800","1997-10-13","Jeff Bezos"
"Amazon","1997","3.979167","1546800","1997-10-14","Jeff Bezos"
"Amazon","1997","3.921875","2355600","1997-10-15","Jeff Bezos"
"Amazon","1997","3.625","3481200","1997-10-16","Jeff Bezos"
"Amazon","1997","3.625","2534400","1997-10-17","Jeff Bezos"
"Amazon","1997","3.822917","4912800","1997-10-20","Jeff Bezos"
"Amazon","1997","4.427083","12096000","1997-10-21","Jeff Bezos"
"Amazon","1997","4.520833","5208000","1997-10-22","Jeff Bezos"
"Amazon","1997","4.5","5656800","1997-10-23","Jeff Bezos"
"Amazon","1997","5.026042","9492000","1997-10-24","Jeff Bezos"
"Amazon","1997","4.270833","6091200","1997-10-27","Jeff Bezos"
"Amazon","1997","4.947917","11719200","1997-10-28","Jeff Bezos"
"Amazon","1997","5.390625","7126800","1997-10-29","Jeff Bezos"
"Amazon","1997","5.125","4770000","1997-10-30","Jeff Bezos"
"Amazon","1997","5.083333","5026800","1997-10-31","Jeff Bezos"
"Amazon","1997","5.072917","1999200","1997-11-03","Jeff Bezos"
"Amazon","1997","4.958333","2365200","1997-11-04","Jeff Bezos"
"Amazon","1997","4.875","3093600","1997-11-05","Jeff Bezos"
"Amazon","1997","4.661458","2913600","1997-11-06","Jeff Bezos"
"Amazon","1997","4.479167","2626800","1997-11-07","Jeff Bezos"
"Amazon","1997","4.208333","2764800","1997-11-10","Jeff Bezos"
"Amazon","1997","3.947917","4312800","1997-11-11","Jeff Bezos"
"Amazon","1997","3.770833","8683200","1997-11-12","Jeff Bezos"
"Amazon","1997","3.859375","4290000","1997-11-13","Jeff Bezos"
"Amazon","1997","4.166667","5869200","1997-11-14","Jeff Bezos"
"Amazon","1997","4.375","7394400","1997-11-17","Jeff Bezos"
"Amazon","1997","4.416667","1866000","1997-11-18","Jeff Bezos"
"Amazon","1997","4.510417","2534400","1997-11-19","Jeff Bezos"
"Amazon","1997","4.583333","5923200","1997-11-20","Jeff Bezos"
"Amazon","1997","4.489583","2602800","1997-11-21","Jeff Bezos"
"Amazon","1997","4.229167","2019600","1997-11-24","Jeff Bezos"
"Amazon","1997","4.203125","3304800","1997-11-25","Jeff Bezos"
"Amazon","1997","4.260417","1630800","1997-11-26","Jeff Bezos"
"Amazon","1997","4.125","1603200","1997-11-28","Jeff Bezos"
"Amazon","1997","4.270833","2383200","1997-12-01","Jeff Bezos"
"Amazon","1997","4.234375","1262400","1997-12-02","Jeff Bezos"
"Amazon","1997","4.364583","1290000","1997-12-03","Jeff Bezos"
"Amazon","1997","4.5","3038400","1997-12-04","Jeff Bezos"
"Amazon","1997","4.59375","2661600","1997-12-05","Jeff Bezos"
"Amazon","1997","4.708333","4766400","1997-12-08","Jeff Bezos"
"Amazon","1997","4.6875","1332000","1997-12-09","Jeff Bezos"
"Amazon","1997","4.510417","1444800","1997-12-10","Jeff Bezos"
"Amazon","1997","4.6875","5014800","1997-12-11","Jeff Bezos"
"Amazon","1997","4.541667","2672400","1997-12-12","Jeff Bezos"
"Amazon","1997","4.583333","1694400","1997-12-15","Jeff Bezos"
"Amazon","1997","4.458333","1687200","1997-12-16","Jeff Bezos"
"Amazon","1997","4.390625","6140400","1997-12-17","Jeff Bezos"
"Amazon","1997","4.291667","3204000","1997-12-18","Jeff Bezos"
"Amazon","1997","4.5","4753200","1997-12-19","Jeff Bezos"
"Amazon","1997","4.697917","4352400","1997-12-22","Jeff Bezos"
"Amazon","1997","4.625","1177200","1997-12-23","Jeff Bezos"
"Amazon","1997","4.604167","2336400","1997-12-24","Jeff Bezos"
"Amazon","1997","4.520833","487200","1997-12-26","Jeff Bezos"
"Amazon","1997","4.75","2552400","1997-12-29","Jeff Bezos"
"Amazon","1997","4.848958","6285600","1997-12-30","Jeff Bezos"
"Amazon","1997","5.020833","4446000","1997-12-31","Jeff Bezos"
"Amazon","1998","4.958333","1660800","1998-01-02","Jeff Bezos"
"Amazon","1998","4.75","3590400","1998-01-05","Jeff Bezos"
"Amazon","1998","4.838542","4174800","1998-01-06","Jeff Bezos"
"Amazon","1998","4.78125","2725200","1998-01-07","Jeff Bezos"
"Amazon","1998","4.614583","6015600","1998-01-08","Jeff Bezos"
"Amazon","1998","4.260417","6643200","1998-01-09","Jeff Bezos"
"Amazon","1998","4.302083","7401600","1998-01-12","Jeff Bezos"
"Amazon","1998","4.645833","7321200","1998-01-13","Jeff Bezos"
"Amazon","1998","4.875","8505600","1998-01-14","Jeff Bezos"
"Amazon","1998","4.953125","6014400","1998-01-15","Jeff Bezos"
"Amazon","1998","4.791667","2563200","1998-01-16","Jeff Bezos"
"Amazon","1998","4.953125","5467200","1998-01-20","Jeff Bezos"
"Amazon","1998","5.072917","8738400","1998-01-21","Jeff Bezos"
"Amazon","1998","5.135417","9471600","1998-01-22","Jeff Bezos"
"Amazon","1998","4.9375","9118800","1998-01-23","Jeff Bezos"
"Amazon","1998","4.8125","4712400","1998-01-26","Jeff Bezos"
"Amazon","1998","4.75","4104000","1998-01-27","Jeff Bezos"
"Amazon","1998","4.770833","5293200","1998-01-28","Jeff Bezos"
"Amazon","1998","4.958333","4836000","1998-01-29","Jeff Bezos"
"Amazon","1998","4.916667","3722400","1998-01-30","Jeff Bezos"
"Amazon","1998","5.197917","6913200","1998-02-02","Jeff Bezos"
"Amazon","1998","5.151042","4429200","1998-02-03","Jeff Bezos"
"Amazon","1998","5.0625","1234800","1998-02-04","Jeff Bezos"
"Amazon","1998","4.9375","5832000","1998-02-05","Jeff Bezos"
"Amazon","1998","4.90625","2122800","1998-02-06","Jeff Bezos"
"Amazon","1998","4.854167","2626800","1998-02-09","Jeff Bezos"
"Amazon","1998","5.302083","12296400","1998-02-10","Jeff Bezos"
"Amazon","1998","5.291667","6474000","1998-02-11","Jeff Bezos"
"Amazon","1998","5.260417","3036000","1998-02-12","Jeff Bezos"
"Amazon","1998","5.1875","8420400","1998-02-13","Jeff Bezos"
"Amazon","1998","5.145833","2376000","1998-02-17","Jeff Bezos"
"Amazon","1998","5.072917","2971200","1998-02-18","Jeff Bezos"
"Amazon","1998","5.229167","4436400","1998-02-19","Jeff Bezos"
"Amazon","1998","5.270833","2703600","1998-02-20","Jeff Bezos"
"Amazon","1998","5.40625","3978000","1998-02-23","Jeff Bezos"
"Amazon","1998","5.40625","13945200","1998-02-24","Jeff Bezos"
"Amazon","1998","5.489583","6745200","1998-02-25","Jeff Bezos"
"Amazon","1998","6.0625","15373200","1998-02-26","Jeff Bezos"
"Amazon","1998","6.416667","24706800","1998-02-27","Jeff Bezos"
"Amazon","1998","6.354167","10957200","1998-03-02","Jeff Bezos"
"Amazon","1998","5.979167","8016000","1998-03-03","Jeff Bezos"
"Amazon","1998","6.119792","7314000","1998-03-04","Jeff Bezos"
"Amazon","1998","6.25","12001200","1998-03-05","Jeff Bezos"
"Amazon","1998","6.395833","5887200","1998-03-06","Jeff Bezos"
"Amazon","1998","6.958333","23055600","1998-03-09","Jeff Bezos"
"Amazon","1998","6.925781","24750000","1998-03-10","Jeff Bezos"
"Amazon","1998","6.635417","12349200","1998-03-11","Jeff Bezos"
"Amazon","1998","6.541667","9799200","1998-03-12","Jeff Bezos"
"Amazon","1998","6.557292","6523200","1998-03-13","Jeff Bezos"
"Amazon","1998","6.583333","3312000","1998-03-16","Jeff Bezos"
"Amazon","1998","6.65625","3100800","1998-03-17","Jeff Bezos"
"Amazon","1998","7.109375","13659600","1998-03-18","Jeff Bezos"
"Amazon","1998","7","12115200","1998-03-19","Jeff Bezos"
"Amazon","1998","7","6412800","1998-03-20","Jeff Bezos"
"Amazon","1998","6.984375","3004800","1998-03-23","Jeff Bezos"
"Amazon","1998","7.020833","5680800","1998-03-24","Jeff Bezos"
"Amazon","1998","6.807292","11289600","1998-03-25","Jeff Bezos"
"Amazon","1998","6.895833","7878000","1998-03-26","Jeff Bezos"
"Amazon","1998","7.083333","7646400","1998-03-27","Jeff Bezos"
"Amazon","1998","7.15625","5500800","1998-03-30","Jeff Bezos"
"Amazon","1998","7.127604","6565200","1998-03-31","Jeff Bezos"
"Amazon","1998","7.510417","14451600","1998-04-01","Jeff Bezos"
"Amazon","1998","7.921875","16642800","1998-04-02","Jeff Bezos"
"Amazon","1998","7.75","11694000","1998-04-03","Jeff Bezos"
"Amazon","1998","7.385417","11024400","1998-04-06","Jeff Bezos"
"Amazon","1998","7.166667","11634000","1998-04-07","Jeff Bezos"
"Amazon","1998","7.385417","11314800","1998-04-08","Jeff Bezos"
"Amazon","1998","7.9375","16034400","1998-04-09","Jeff Bezos"
"Amazon","1998","7.859375","10980000","1998-04-13","Jeff Bezos"
"Amazon","1998","8.098958","16323600","1998-04-14","Jeff Bezos"
"Amazon","1998","8.010417","11192400","1998-04-15","Jeff Bezos"
"Amazon","1998","8.208333","16244400","1998-04-16","Jeff Bezos"
"Amazon","1998","7.90625","7035600","1998-04-17","Jeff Bezos"
"Amazon","1998","7.854167","8979600","1998-04-20","Jeff Bezos"
"Amazon","1998","7.755208","8354400","1998-04-21","Jeff Bezos"
"Amazon","1998","7.270833","11301600","1998-04-22","Jeff Bezos"
"Amazon","1998","6.75","12253200","1998-04-23","Jeff Bezos"
"Amazon","1998","7.072917","16785600","1998-04-24","Jeff Bezos"
"Amazon","1998","6.895833","18885600","1998-04-27","Jeff Bezos"
"Amazon","1998","7.96875","69594000","1998-04-28","Jeff Bezos"
"Amazon","1998","7.958333","31657200","1998-04-29","Jeff Bezos"
"Amazon","1998","7.645833","22485600","1998-04-30","Jeff Bezos"
"Amazon","1998","7.875","9307200","1998-05-01","Jeff Bezos"
"Amazon","1998","7.9375","7735200","1998-05-04","Jeff Bezos"
"Amazon","1998","7.809896","5998800","1998-05-05","Jeff Bezos"
"Amazon","1998","7.53125","7438800","1998-05-06","Jeff Bezos"
"Amazon","1998","7.583333","13887600","1998-05-07","Jeff Bezos"
"Amazon","1998","7.697917","4792800","1998-05-08","Jeff Bezos"
"Amazon","1998","7.239583","11372400","1998-05-11","Jeff Bezos"
"Amazon","1998","7.614583","11636400","1998-05-12","Jeff Bezos"
"Amazon","1998","7.739583","13944000","1998-05-13","Jeff Bezos"
"Amazon","1998","7.630208","8600400","1998-05-14","Jeff Bezos"
"Amazon","1998","7.46875","4628400","1998-05-15","Jeff Bezos"
"Amazon","1998","7.338542","6618000","1998-05-18","Jeff Bezos"
"Amazon","1998","7.53125","3423600","1998-05-19","Jeff Bezos"
"Amazon","1998","7.385417","4048800","1998-05-20","Jeff Bezos"
"Amazon","1998","7.395833","3403200","1998-05-21","Jeff Bezos"
"Amazon","1998","7.166667","5862000","1998-05-22","Jeff Bezos"
"Amazon","1998","6.822917","10884000","1998-05-26","Jeff Bezos"
"Amazon","1998","7.21875","23234400","1998-05-27","Jeff Bezos"
"Amazon","1998","7.161458","9412800","1998-05-28","Jeff Bezos"
"Amazon","1998","7.34375","8641200","1998-05-29","Jeff Bezos"
"Amazon","1998","7.135417","8043600","1998-06-01","Jeff Bezos"
"Amazon","1998","7.28125","8201400","1998-06-02","Jeff Bezos"
"Amazon","1998","7.041667","6581400","1998-06-03","Jeff Bezos"
"Amazon","1998","7.3125","4995600","1998-06-04","Jeff Bezos"
"Amazon","1998","7.375","3427200","1998-06-05","Jeff Bezos"
"Amazon","1998","7.708333","5463000","1998-06-08","Jeff Bezos"
"Amazon","1998","8.541667","19436400","1998-06-09","Jeff Bezos"
"Amazon","1998","9.020833","24285000","1998-06-10","Jeff Bezos"
"Amazon","1998","10.416667","35851200","1998-06-11","Jeff Bezos"
"Amazon","1998","10.166667","21655800","1998-06-12","Jeff Bezos"
"Amazon","1998","10.958333","33701400","1998-06-15","Jeff Bezos"
"Amazon","1998","12.270833","39167400","1998-06-16","Jeff Bezos"
"Amazon","1998","13.166667","40265400","1998-06-17","Jeff Bezos"
"Amazon","1998","12.020833","31639800","1998-06-18","Jeff Bezos"
"Amazon","1998","12.635417","36678600","1998-06-19","Jeff Bezos"
"Amazon","1998","13.5625","36318000","1998-06-22","Jeff Bezos"
"Amazon","1998","15.447917","37463400","1998-06-23","Jeff Bezos"
"Amazon","1998","16.635416","58704600","1998-06-24","Jeff Bezos"
"Amazon","1998","16.510416","54465000","1998-06-25","Jeff Bezos"
