"CompanyName","year_stock","Close","Volume","Date","CeoName"
"Amazon","2019","1847.839966","2506500","2019-12-31","Jeff Bezos"
"Amazon","2018","1501.969971","6954500","2018-12-31","Jeff Bezos"
"Amazon","2015","675.890015","3749600","2015-12-31","Jeff Bezos"
"Amazon","2014","310.350006","2048000","2014-12-31","Jeff Bezos"
"Amazon","2013","398.790009","1996500","2013-12-31","Jeff Bezos"
"Amazon","2012","250.869995","3419000","2012-12-31","Jeff Bezos"
"Amazon","2010","180","3451900","2010-12-31","Jeff Bezos"
"Amazon","2009","134.520004","4523000","2009-12-31","Jeff Bezos"
"Amazon","2008","51.279999","7792200","2008-12-31","Jeff Bezos"
"Amazon","2007","92.639999","5755200","2007-12-31","Jeff Bezos"
"Amazon","2004","44.290001","4790700","2004-12-31","Jeff Bezos"
"Amazon","2003","52.619999","5307200","2003-12-31","Jeff Bezos"
"Amazon","2002","18.889999","5537000","2002-12-31","Jeff Bezos"
"Amazon","2001","10.82","6034700","2001-12-31","Jeff Bezos"
"Amazon","1999","76.125","7270700","1999-12-31","Jeff Bezos"
"Amazon","1998","53.541668","18298200","1998-12-31","Jeff Bezos"
"Amazon","1997","5.020833","4446000","1997-12-31","Jeff Bezos"
"Apple","1981","0.098772","54656000","1981-12-31","Michael Scott"
"Apple","1980","0.152344","35750400","1980-12-31","Michael Scott"
"Apple","1982","0.133371","49660800","1982-12-31","Mike Markkula"
"Apple","1981","0.098772","54656000","1981-12-31","Mike Markkula"
"Apple","1993","0.261161","160966400","1993-12-31","John Sculley"
"Apple","1992","0.533482","92232000","1992-12-31","John Sculley"
"Apple","1991","0.503348","134030400","1991-12-31","John Sculley"
"Apple","1990","0.383929","44273600","1990-12-31","John Sculley"
"Apple","1987","0.375","117600000","1987-12-31","John Sculley"
"Apple","1986","0.180804","132563200","1986-12-31","John Sculley"
"Apple","1985","0.098214","87248000","1985-12-31","John Sculley"
"Apple","1984","0.130022","207760000","1984-12-31","John Sculley"
"Apple","1996","0.186384","383745600","1996-12-31","Michael Spindler"
"Apple","1993","0.261161","160966400","1993-12-31","Michael Spindler"
"Apple","1997","0.117188","406358400","1997-12-31","Gilbert Frank Amelio"
"Apple","1996","0.186384","383745600","1996-12-31","Gilbert Frank Amelio"
"Apple","2010","11.52","193508000","2010-12-31","Steve Jobs"
"Apple","2009","7.526072","352410800","2009-12-31","Steve Jobs"
"Apple","2008","3.048214","607541200","2008-12-31","Steve Jobs"
"Apple","2007","7.074286","539333200","2007-12-31","Steve Jobs"
"Apple","2004","1.15","278588800","2004-12-31","Steve Jobs"
"Apple","2003","0.381607","174451200","2003-12-31","Steve Jobs"
"Apple","2002","0.255893","200726400","2002-12-31","Steve Jobs"
"Apple","2001","0.391071","137782400","2001-12-31","Steve Jobs"
"Apple","1999","0.917969","163811200","1999-12-31","Steve Jobs"
"Apple","1998","0.365513","271689600","1998-12-31","Steve Jobs"
"Apple","1997","0.117188","406358400","1997-12-31","Steve Jobs"
"Apple","2019","73.412498","100805600","2019-12-31","Tim Cook"
"Apple","2018","39.435001","140014000","2018-12-31","Tim Cook"
"Apple","2015","26.315001","163649200","2015-12-31","Tim Cook"
"Apple","2014","27.594999","165613600","2014-12-31","Tim Cook"
"Apple","2013","20.036428","223084400","2013-12-31","Tim Cook"
"Apple","2012","19.006071","659492400","2012-12-31","Tim Cook"
"Facebook","2019","205.25","8953500","2019-12-31","Mark Zuckerberg"
"Facebook","2018","131.089996","24625300","2018-12-31","Mark Zuckerberg"
"Facebook","2015","104.660004","18391100","2015-12-31","Mark Zuckerberg"
"Facebook","2014","78.019997","19935400","2014-12-31","Mark Zuckerberg"
"Facebook","2013","54.650002","43076200","2013-12-31","Mark Zuckerberg"
"Facebook","2012","26.620001","60374500","2012-12-31","Mark Zuckerberg"
"Google","2010","297.282288","3075500","2010-12-31","Eric Schmidt"
"Google","2009","310.300293","2437100","2009-12-31","Eric Schmidt"
"Google","2008","153.978973","5767800","2008-12-31","Eric Schmidt"
"Google","2007","346.08609","4747600","2007-12-31","Eric Schmidt"
"Google","2004","96.491493","15321600","2004-12-31","Eric Schmidt"
"Google","2015","778.01001","1637600","2015-12-31","Larry Page"
"Google","2014","530.659973","1232400","2014-12-31","Larry Page"
"Google","2013","560.915894","2713000","2013-12-31","Larry Page"
"Google","2012","354.044037","3990800","2012-12-31","Larry Page"
"Google","2019","1339.390015","975700","2019-12-31","Sundar Pichai"
"Google","2018","1044.959961","1655500","2018-12-31","Sundar Pichai"
"Google","2015","778.01001","1637600","2015-12-31","Sundar Pichai"
"Netflix","2019","323.570007","3713300","2019-12-31","Reed Hastings"
"Netflix","2018","267.660004","13508900","2018-12-31","Reed Hastings"
"Netflix","2015","114.379997","9273000","2015-12-31","Reed Hastings"
"Netflix","2014","48.80143","8627500","2014-12-31","Reed Hastings"
"Netflix","2013","52.595715","10516800","2013-12-31","Reed Hastings"
"Netflix","2012","13.227143","18078900","2012-12-31","Reed Hastings"
"Netflix","2010","25.1","21562800","2010-12-31","Reed Hastings"
"Netflix","2009","7.87","5291300","2009-12-31","Reed Hastings"
"Netflix","2008","4.27","6200600","2008-12-31","Reed Hastings"
"Netflix","2007","3.802857","10415300","2007-12-31","Reed Hastings"
"Netflix","2004","1.761429","9830800","2004-12-31","Reed Hastings"
"Netflix","2003","3.906429","16801400","2003-12-31","Reed Hastings"
"Netflix","2002","0.786429","11369400","2002-12-31","Reed Hastings"
